,division,district,thana,lat,long,geohash
59,Mymensingh,Mymensingh,Mymensingh Sadar,,,
60,Chittagong,Comilla,Muradnagar,,,
61,Rangpur,Dinajpur,Fulbari,,,
62,Rangpur,Rangpur,Gangachara,,,
63,Khulna,Chuadanga,Alamdanga,,,
64,Dhaka,Tangail,Gopalpur,,,
66,Rajshahi,Joypurhat,Khetlal,,,
68,Rangpur,Rangpur,Taraganj,,,
69,Sylhet,Sylhet,Bishwanath,,,
70,Rajshahi,Nawabganj,Nawabganj Sadar,,,
71,Dhaka,Faridpur,Alfadanga,,,
72,Dhaka,Faridpur,Bhanga,,,
73,Chittagong,Cox's Bazar,Kutubdia,,,
74,Dhaka,Faridpur,Faridpur Sadar,,,
75,Rangpur,Dinajpur,Hakimpur,,,
76,Chittagong,Bandarban,Alikadam,,,
77,Chittagong,Bandarban,Rowangchhari,,,
78,Barisal,Barisal,Mehendiganj,,,
79,Barisal,Bhola,Bhola Sadar,,,
80,Dhaka,Madaripur,Kalkini,,,
81,Rajshahi,Nawabganj,Gomastapur,,,
83,Sylhet,Sylhet,Beani Bazar,,,
84,Barisal,Patuakhali,Dashmina,,,
85,Dhaka,Rajbari,Rajbari Sadar,,,
88,Dhaka,Narayanganj,Narayanganj Sadar,,,
89,Sylhet,Sylhet,Gowainghat,,,
90,Chittagong,Comilla,Chauddagram,,,
91,Dhaka,Narsingdi,Narsingdi Sadar,,,
92,Dhaka,Tangail,Madhupur,,,
93,Khulna,Chuadanga,Chuadanga Sadar,,,
95,Rangpur,Dinajpur,Khansama,,,
96,Rangpur,Panchagarh,Atwari,,,
97,Chittagong,Noakhali,Begumganj,,,
98,Khulna,Khulna,Koyra,,,
100,Khulna,Magura,Sreepur,,,
101,Chittagong,Chittagong,Sandwip,,,
103,Rangpur,Panchagarh,Panchagarh Sadar,,,
105,Khulna,Kushtia,Khoksa,,,
106,Khulna,Kushtia,Mirpur,,,
107,Chittagong,Noakhali,Sonaimuri,,,
110,Khulna,Meherpur,Meherpur Sadar,,,
111,Rajshahi,Joypurhat,Joypurhat Sadar,,,
113,Rangpur,Thakurgaon,Haripur,,,
114,Dhaka,Madaripur,Rajoir,,,
115,Chittagong,Chittagong,Satkania,,,
116,Dhaka,Dhaka,Savar,,,
119,Chittagong,Feni,Sonagazi,,,
120,Mymensingh,Mymensingh,Trishal,,,
122,Khulna,Khulna,Batiaghata,,,
124,Chittagong,Feni,Fulgazi,,,
125,Rangpur,Thakurgaon,Baliadangi,,,
127,Barisal,Patuakhali,Galachipa,,,
129,Dhaka,Narsingdi,Belabo,,,
130,Barisal,Patuakhali,Mirzaganj,,,
131,Barisal,Pirojpur,Mathbaria,,,
132,Barisal,Pirojpur,Kawkhali,,,
133,Chittagong,Comilla,Comilla Adarsha Sadar,,,
134,Rajshahi,Bogra,Shajahanpur,,,
135,Dhaka,Dhaka,Dhamrai,,,
136,Mymensingh,Mymensingh,Haluaghat,,,
138,Mymensingh,Netrakona,Netrokona Sadar,,,
139,Barisal,Barguna,Amtali,,,
140,Chittagong,Khagrachhari,Matiranga,,,
141,Chittagong,Rangamati,Baghai Chhari,,,
142,Dhaka,Gopalganj,Kotali Para,,,
144,Sylhet,Sylhet,Golabganj,,,
147,Chittagong,Noakhali,Noakhali Sadar (Sudharam),,,
149,Rangpur,Kurigram,Bhurungamari,,,
152,Khulna,Chuadanga,Jiban Nagar,,,
153,Dhaka,Tangail,Ghatail,,,
155,Barisal,Patuakhali,Dumki,,,
156,Dhaka,Shariatpur,Shariatpur Sadar,,,
157,Rangpur,Rangpur,Pirgachha,,,
158,Chittagong,Chittagong,Anowara,,,
159,Khulna,Satkhira,Assasuni,,,
160,Rajshahi,Joypurhat,Panchbibi,,,
161,Mymensingh,Jamalpur,Sarishabari,,,
162,Chittagong,Brahamanbaria,Sarail,,,
163,Khulna,Jessore,Kotwali,,,
164,Dhaka,Kishoreganj,Hossainpur,,,
165,Dhaka,Narayanganj,Araihazar,,,
166,Chittagong,Brahamanbaria,Ashuganj,,,
169,Rajshahi,Rajshahi,Bagha,,,
172,Rajshahi,Natore,Lalpur,,,
176,Dhaka,Tangail,Bhuapur,,,
178,Chittagong,Noakhali,Senbagh,,,
180,Khulna,Magura,Shalikha,,,
181,Dhaka,Shariatpur,Bhedarganj,,,
182,Dhaka,Manikganj,Shibalaya,,,
183,Chittagong,Comilla,Homna,,,
185,Sylhet,Sunamganj,Jagannathpur,,,
186,Sylhet,Maulvibazar,Sreemangal,,,
187,Chittagong,Chandpur,Chandpur Sadar,,,
188,Chittagong,Chandpur,Kachua,,,
189,Rajshahi,Pabna,Bhangura,,,
191,Rangpur,Kurigram,Chilmari,,,
195,Chittagong,Chittagong,Patiya,,,
196,Rangpur,Dinajpur,Dinajpur Sadar,,,
198,Mymensingh,Netrakona,Barhatta,,,
200,Mymensingh,Netrakona,Kendua,,,
201,Dhaka,Gazipur,Kaliakair,,,
202,Rajshahi,Pabna,Pabna Sadar,,,
203,Rajshahi,Pabna,Santhia,,,
205,Chittagong,Comilla,Chandina,,,
206,Rangpur,Dinajpur,Bochaganj,,,
207,Sylhet,Sunamganj,Sulla,,,
208,Dhaka,Faridpur,Saltha,,,
209,Barisal,Pirojpur,Nesarabad (Swarupkati),,,
210,Rajshahi,Pabna,Atgharia,,,
211,Mymensingh,Mymensingh,Ishwarganj,,,
213,Khulna,Magura,Magura Sadar,,,
214,Dhaka,Tangail,Delduar,,,
215,Dhaka,Manikganj,Manikganj Sadar,,,
216,Khulna,Bagerhat,Mollahat,,,
217,Khulna,Khulna,Dumuria,,,
218,Rajshahi,Bogra,Shibganj,,,
219,Dhaka,Munshiganj,Sreenagar,,,
220,Khulna,Khulna,Khan Jahan Ali,,,
221,Khulna,Satkhira,Shyamnagar,,,
222,Rajshahi,Rajshahi,Baghmara,,,
224,Barisal,Patuakhali,Patuakhali Sadar,,,
227,Khulna,Narail,Narail Sadar,,,
228,Sylhet,Habiganj,Nabiganj,,,
232,Barisal,Barguna,Barguna Sadar,,,
234,Dhaka,Narsingdi,Shibpur,,,
235,Khulna,Jhenaidah,Maheshpur,,,
237,Dhaka,Manikganj,Harirampur,,,
239,Rangpur,Dinajpur,Biral,,,
240,Chittagong,Bandarban,Lama,,,
241,Khulna,Narail,Kalia,,,
242,Chittagong,Khagrachhari,Dighinala,,,
243,Khulna,Magura,Mohammadpur,,,
244,Dhaka,Rajbari,Pangsha,,,
247,Rangpur,Thakurgaon,Ranisankail,,,
248,Chittagong,Brahamanbaria,Kasba,,,
250,Chittagong,Noakhali,Chatkhil,,,
253,Rangpur,Rangpur,Badarganj,,,
255,Chittagong,Cox's Bazar,Chakaria,,,
256,Barisal,Bhola,Lalmohan,,,
258,Dhaka,Dhaka,Badda,,,
259,Rajshahi,Rajshahi,Tanore,,,
261,Rangpur,Gaibandha,Gaibandha Sadar,,,
262,Dhaka,Kishoreganj,Itna,,,
264,Khulna,Jessore,Sharsha,,,
268,Chittagong,Chandpur,Matlab Uttar,,,
269,Mymensingh,Jamalpur,Bakshiganj,,,
271,Dhaka,Faridpur,Madhukhali,,,
