id,country,user_id,updated_date,created_date,level_id,affluence_id,unique_id,name,latitude,longitude,radius,geohash,afluence,category
33188,BD,admin,8/2/21,8/2/21,,,,Four Star Hotel & Restaurant,23.2221867,90.6504389,,,High,Restaurant
33189,BD,admin,8/2/21,8/2/21,,,,Adda Ghor (_____ __),23.2296413,90.6595369,,,Low,Restaurant
33190,BD,admin,8/2/21,8/2/21,,,,Taj Hotel & Restaurant,23.2261897,90.6563465,,,High,Restaurant
33191,BD,admin,8/2/21,8/2/21,,,,Al Imran Restaurant & Kabab House,23.2282209,90.6593721,,,High,Restaurant
33192,BD,admin,8/2/21,8/2/21,,,,Hang Out Juice Bar & Fastfood,23.2313846,90.666361,,,Low,Restaurant
33193,BD,admin,8/2/21,8/2/21,,,,The Cafe jheel Hotel&Reastant,23.2326376,90.6643612,,,High,Restaurant
33194,BD,admin,8/2/21,8/2/21,,,,Western Kitchen,23.2223887,90.6537331,,,High,Restaurant
33195,BD,admin,8/2/21,8/2/21,,,,____ ________,23.2259726,90.6548774,,,High,Restaurant
33196,BD,admin,8/2/21,8/2/21,,,,Ruchi Restaurant,23.2261375,90.659854,,,Low,Restaurant
33197,BD,admin,8/2/21,8/2/21,,,,Meet & Eat,23.2259441,90.6598218,,,High,Restaurant
33198,BD,admin,8/2/21,8/2/21,,,,Al Araf Hotel & Restaurant,23.2258203,90.6546807,,,Low,Restaurant
33199,BD,admin,8/2/21,8/2/21,,,,Grand City,23.2258203,90.6546807,,,High,Restaurant
33200,BD,admin,8/2/21,8/2/21,,,,____ ______ ___________ ____ ______ _______,23.2223887,90.6537331,,,High,Restaurant
33201,BD,admin,8/2/21,8/2/21,,,,Chittagong Bull,23.7807409,90.4163478,,,Ultra High,Restaurant
33202,BD,admin,8/2/21,8/2/21,,,,Chittagong Bull,23.8745461,90.3899903,,,High,Restaurant
33203,BD,admin,8/2/21,8/2/21,,,,Barcode Cafe,22.3721763,91.8457154,,,Ultra High,Restaurant
33204,BD,admin,8/2/21,8/2/21,,,,Khazana Mithai - Gulshan 2 Outlet,23.7949011,90.4136404,,,Ultra High,Restaurant
33205,BD,admin,8/2/21,8/2/21,,,,Meghna Village Highway Cafe,23.5926802,90.6288533,,,High,Restaurant
33206,BD,admin,8/2/21,8/2/21,,,,Zaytun Restaurant,23.7794687,90.3810029,,,High,Restaurant
33207,BD,admin,8/2/21,8/2/21,,,,Taste Of Chittagong,22.3458836,91.8244332,,,High,Restaurant
33208,BD,admin,8/2/21,8/2/21,,,,Ambrosia Restaurant Ltd,22.356851,91.7831819,,,Ultra High,Restaurant
33209,BD,admin,8/2/21,8/2/21,,,,Mejjainna Bari,22.356851,91.7831819,,,Ultra High,Restaurant
33210,BD,admin,8/2/21,8/2/21,,,,VR Chittagong,22.3616441,91.812387,,,High,Restaurant
33211,BD,admin,8/2/21,8/2/21,,,,Barcode Cafe,22.356851,91.7831819,,,Ultra High,Restaurant
33212,BD,admin,8/2/21,8/2/21,,,,Chittagong Lounge,22.356851,91.7831819,,,High,Restaurant
33213,BD,admin,8/2/21,8/2/21,,,,Segafredo Espresso Chittagong,22.356851,91.7831819,,,Ultra High,Restaurant
33214,BD,admin,8/2/21,8/2/21,,,,Royal Hut,22.356851,91.7831819,,,Ultra High,Restaurant
33215,BD,admin,8/2/21,8/2/21,,,,The Pavilion,22.356851,91.7831819,,,Ultra High,Restaurant
33216,BD,admin,8/2/21,8/2/21,,,,Tava Restaurant & Lounge,22.356851,91.7831819,,,Ultra High,Restaurant
33217,BD,admin,8/2/21,8/2/21,,,,KRAVE,22.356851,91.7831819,,,Mid,Restaurant
33218,BD,admin,8/2/21,8/2/21,,,,Gharana Restaurant,22.3263238,91.8151885,,,Ultra High,Restaurant
33219,BD,admin,8/2/21,8/2/21,,,,Bangliana Restaurant - Chittagong,22.3471831,91.8188934,,,High,Restaurant
33220,BD,admin,8/2/21,8/2/21,,,,Bhai Bhai Chap Ghar,23.4575825,91.1740572,,,Low,Restaurant
33221,BD,admin,8/2/21,8/2/21,,,,PC Restora,23.4671221,91.1823201,,,Ultra High,Restaurant
33222,BD,admin,8/2/21,8/2/21,,,,_______ ___ __,23.4504782,91.2032631,,,Low,Restaurant
33223,BD,admin,8/2/21,8/2/21,,,,Bangla Restora,23.4637372,91.1821474,,,High,Restaurant
33224,BD,admin,8/2/21,8/2/21,,,,Kashmiri Restora,23.4621535,91.1788965,,,High,Restaurant
33225,BD,admin,8/2/21,8/2/21,,,,Kabab Station,23.4522945,91.1744307,,,Ultra High,Restaurant
33226,BD,admin,8/2/21,8/2/21,,,,Al-Amin Barobi Hotel & Restaurant,23.4636498,91.1667985,,,High,Restaurant
33227,BD,admin,8/2/21,8/2/21,,,,Cafe Spiceno,23.4610603,91.1880595,,,High,Restaurant
33228,BD,admin,8/2/21,8/2/21,,,,"Icy Spicy, Cumilla",23.4632528,91.1770153,,,High,Restaurant
33229,BD,admin,8/2/21,8/2/21,,,,Silver Spoon Fast Food & Cake House,23.4631233,91.1773852,,,High,Restaurant
33230,BD,admin,8/2/21,8/2/21,,,,Pizza Dot,23.4498046,91.192143,,,Ultra High,Restaurant
33231,BD,admin,8/2/21,8/2/21,,,,Coffee Buzz,23.4658392,91.1715611,,,High,Restaurant
33232,BD,admin,8/2/21,8/2/21,,,,Bhai Bhai Biriyani & Kabab House,23.4636498,91.1667985,,,Low,Restaurant
33233,BD,admin,8/2/21,8/2/21,,,,Al-Amin Hotel,23.4636498,91.1667985,,,Low,Restaurant
33234,BD,admin,8/2/21,8/2/21,,,,Cafe Barista - ______ ________,23.4660079,91.173887,,,High,Restaurant
33235,BD,admin,8/2/21,8/2/21,,,,Food Path,23.4606574,91.1809065,,,Low,Restaurant
33236,BD,admin,8/2/21,8/2/21,,,,Cumilla Restaura,23.4467846,91.1727785,,,High,Restaurant
33237,BD,admin,8/2/21,8/2/21,,,,Badhua Food Village,23.4631018,91.1819821,,,High,Restaurant
33238,BD,admin,8/2/21,8/2/21,,,,Spicy Food & Shawarma House,22.9454033,90.8341624,,,High,Restaurant
33239,BD,admin,8/2/21,8/2/21,,,,Kutum Bari,22.9454033,90.8341624,,,High,Restaurant
33240,BD,admin,8/2/21,8/2/21,,,,Tripty Hotel And Restaurant,22.9454033,90.8341624,,,High,Restaurant
33241,BD,admin,8/2/21,8/2/21,,,,"Tripti Sweetmeet & Confectionary, Dattapara Chowdhury Bazar, Lakshmipur sadar, chittagong",22.9829502,90.9306621,,,High,Restaurant
33242,BD,admin,8/2/21,8/2/21,,,,___________ _____ ____ ______,23.1001185,90.8627473,,,High,Restaurant
33243,BD,admin,8/2/21,8/2/21,,,,Capsikum Restaurant & Party Centre,23.096273,90.8582854,,,Low,Restaurant
33244,BD,admin,8/2/21,8/2/21,,,,Jaman Hotel and Restaurant,22.3608525,91.7821533,,,Low,Restaurant
33245,BD,admin,8/2/21,8/2/21,,,,Big Bite Restaurant,22.9454033,90.8341624,,,High,Restaurant
33246,BD,admin,8/2/21,8/2/21,,,,Red Chilli Fried Chicken,22.9371882,90.8298839,,,Low,Restaurant
33247,BD,admin,8/2/21,8/2/21,,,,_________,22.9454033,90.8341624,,,High,Restaurant
33248,BD,admin,8/2/21,8/2/21,,,,___ _______ _____,22.9454033,90.8341624,,,High,Restaurant
33249,BD,admin,8/2/21,8/2/21,,,,Rainbow Toy And Food Zone,22.9454033,90.8341624,,,High,Restaurant
33250,BD,admin,8/2/21,8/2/21,,,,Mohommadiya Hotel & Resturent.,23.1001185,90.8627473,,,High,Restaurant
33251,BD,admin,8/2/21,8/2/21,,,,Mohammodia Hotel & Chinese,23.1001185,90.8627473,,,High,Restaurant
33252,BD,admin,8/2/21,8/2/21,,,,Hotel Noorjahan,10.7732097,76.6543448,,,High,Restaurant
